IncidentID,Case Number,DateID,CrimeTypeID,LocationID,Arrest,Domestic,Location Description Encoded
8673441,HV348348,92296,1,172280,False,True,99
10354604,HY545955,478787,16,465014,True,True,109
9504239,HX159261,286535,90,108102,True,False,53
9893685,HX544106,361959,4,527980,False,False,17
10661963,HZ412773,561068,134,724749,False,False,120
10191163,HY378831,431276,1,28815,True,True,17
10536840,HZ280934,9993,26,16031,False,False,121
9931209,HY120224,17235,1,28960,False,True,17
8559705,HV235399,67095,21,122641,False,False,125
10702778,HZ458247,573389,58,325187,False,False,109
10004061,HY193814,385680,35,498595,False,False,109
8688009,HV363551,95690,60,152477,False,True,17
9608779,HX258895,310562,4,489451,False,False,111
9947890,HY136577,21824,3,36532,True,False,121
10192540,HY379988,431604,76,446737,True,False,121
9708848,HX307751,322463,212,517857,True,False,122
10745587,HZ506595,586754,22,49629,False,False,122
8506379,HV183514,55083,4,98563,False,False,125
9221678,HW367893,219865,1,375385,True,False,125
9090288,HW235273,188684,39,329859,True,False,125
9184414,HW328947,209288,11,361788,False,True,109
9278287,HW422693,232647,8,98904,False,False,109
9702739,HX353419,333449,1,516361,False,True,112
9901467,HX551888,381329,32,570195,False,False,109
8808382,HV481897,122705,2,229650,True,False,112
8940645,HV611797,152831,4,279029,False,False,125
8940651,HV612049,152357,8,48119,False,False,23
9628156,HX279011,315734,39,494946,True,False,96
10598065,HZ349411,544087,39,42982,True,False,72
9969018,HY158249,26736,26,44776,False,False,112
9905809,HX556442,382458,4,15070,False,False,23
10257926,HY444254,518223,16,690081,False,False,96
10724895,HZ483499,580424,1,179757,False,True,17
8912910,HV586433,146936,107,269773,True,False,112
10508278,HZ249928,526320,21,465784,False,False,125
10599663,HZ351050,544481,1,148130,False,True,125
9264756,HW409455,229466,37,389747,False,True,109
8480041,HV156767,48552,39,481,True,False,121
8941458,HV611556,152725,97,279433,False,False,17
8702840,HV379084,98225,167,186050,False,False,101
8521363,HV198309,58267,8,6526,False,True,109
9552321,HX204467,297318,23,127,False,False,96
10368235,HZ104395,483252,4,469043,False,False,109
9490191,HX144238,283033,22,50989,False,False,122
9664574,HX314938,324233,3,104475,True,False,121
9461212,HX113996,275662,3,1696,False,False,120
9442776,HW586912,251121,32,111478,False,False,96
10367308,HZ103429,483041,27,306494,True,False,119
9995104,HY185755,33354,22,16543,True,False,60
9715568,HX364646,336126,11,519984,False,False,125
10298664,HY486929,461521,21,648394,False,False,125
9913412,HY102440,13572,1,21629,True,True,17
8788575,HV462619,116095,8,221669,False,False,125
9147893,HW293540,201149,21,207390,False,False,3
8780038,HV453601,101380,24,217467,False,False,109
9972880,HY162283,27551,32,46400,False,False,109
9730985,HX380865,340098,26,367024,False,False,121
9418209,HW560520,265700,3,2131,False,False,121
9271008,HW415731,231010,1,263829,False,True,17
9252482,HW397476,226711,58,385563,True,False,121
9621314,HX271366,313833,39,492827,True,False,125
8503988,HV180396,54302,39,9903,True,False,119
9292002,HW436805,236016,4,232973,False,False,99
10586611,HZ337069,540522,1,707152,False,True,125
10180954,HY368880,428408,68,619311,False,False,50
8782669,HV456125,116635,3,13126,True,False,127
9294410,HW439432,236839,5,400110,False,False,125
10515918,HZ257773,2222,16,3821,False,False,17
9486720,HX140144,268069,29,6595,False,False,96
10717973,HZ476795,578500,16,738942,False,False,111
10284910,HY472815,457566,27,22139,True,False,113
8487733,HV164875,50520,82,89866,False,False,125
9431469,HW574921,268843,1,429572,True,False,109
9351328,HW494962,249759,32,418237,False,False,109
10087342,HY276402,406213,1,2280,True,True,109
9119466,HW264341,194729,4,168233,False,False,50
9430817,HW574716,268654,4,442181,False,False,112
9723694,HX373663,338382,39,291094,True,False,121
10054282,HY242862,398118,138,587529,True,False,109
9677872,HX327358,327079,3,66530,False,False,121
10018755,HY207818,389148,10,578521,False,False,125
8991170,HW138287,165135,35,297171,False,False,121
9081805,HW226516,186569,16,326813,False,False,17
10733464,HZ492625,582264,4,742076,False,False,110
8892016,HV566101,141994,4,234511,False,False,125
10742719,HZ502877,585660,13,744708,False,False,109
10478022,HZ216975,515139,29,688584,False,False,17
10758974,HZ522568,590769,35,748930,False,False,96
9730542,HX380293,339973,118,348577,True,False,109
10167584,HY356141,425485,4,616097,False,False,121
10537848,HZ282000,10275,16,16551,False,False,109
8649770,HV324695,86754,60,139119,True,True,17
10710989,HZ468788,576438,21,54554,False,False,101
10220561,HY407410,439269,121,27676,False,False,57
10688360,HZ442597,569145,4,731413,False,False,121
9048132,HW192879,178363,4,315309,False,False,50
8836098,HV509133,129015,22,1608,True,False,76
9874336,HX525216,374940,11,563696,True,False,112
8483742,HV160343,49172,30,77761,True,False,44
8849452,HV522429,132021,68,83840,False,False,122
9117958,HW262681,194372,24,35602,False,False,109
9245438,HW390802,225159,68,4039,False,False,82
10289529,HY477579,458938,8,646238,False,False,72
9150476,HW296261,203215,87,350689,True,False,125
9835965,HX485537,364313,4,427449,False,False,125
8688619,HV364091,95873,4,179396,False,False,96
9321065,HW464971,242774,8,408537,False,False,125
8865557,HV539413,135928,55,251943,True,True,121
8889718,HV563770,141433,29,261085,False,False,109
8621366,HV295355,80701,10,149324,False,False,125
8526296,HV204143,59574,8,107966,False,False,125
9872842,HX523174,374359,53,563154,True,False,110
9266735,HW411294,230075,59,281343,False,False,17
10282729,HY470586,456563,4,644532,False,False,125
10028155,HY217660,391717,58,581079,False,False,96
10078453,HY266819,403899,248,208608,False,True,96
10198702,HY386437,433248,24,11972,False,False,122
10384775,HZ121301,487999,87,668886,True,False,125
9127905,HW272662,197610,8,342702,False,False,96
10253569,HY441447,448635,14,637606,False,False,17
10411069,HZ147694,492864,188,58465,False,False,109
10211893,HY398005,436447,10,626863,False,False,125
9809106,HX458151,358853,3,123164,False,False,109
9690935,HX340554,330276,21,512622,False,True,125
8733969,HV409955,105928,10,117982,True,False,82
8793704,HV466965,119005,10,223788,False,False,125
9658488,HX220051,322688,76,361766,True,False,132
8723186,HV399227,103818,4,194957,False,False,125
10261250,HY448940,450685,60,161598,True,True,17
9464048,HX116650,276518,4,13044,False,False,125
9227623,HW374366,221346,92,377535,True,False,15
10397636,HZ133883,443699,1,48008,False,True,17
10765320,HZ530310,593303,1,750676,False,True,109
9327315,HW470739,244023,21,410460,False,False,35
9135147,HW278597,198922,4,68670,False,False,125
10373483,HZ109658,484846,16,666455,False,False,111
10031985,HY221237,392588,21,187053,False,False,125
9927954,HY116625,15473,37,27220,False,False,17
9794511,HX443183,355244,8,542320,False,False,50
9170781,HW315501,207620,8,280960,False,False,101
